{47dcf37a-6a8d-4ef6-9f82-2e0398fa69f9} bank:/common
{3adcacaf-e1f8-4b1b-b648-ce609d57c781} bank:/MSU_SR25
{08f6ba78-f576-4f9f-a232-47657d5fec19} bus:/
{9e2b6406-bcd0-4f61-92a5-b3e5d68d4b97} bus:/grp_backfire_ext
{477be05a-5cbd-468a-b1d8-637af58bba28} bus:/grp_backfire_int
{b3c3876b-83aa-45d3-b43a-125adcb9a753} bus:/grp_bodywork
{f915798f-0669-4379-b31a-6ec19e8af0ea} bus:/grp_collisions
{559b9037-dd6c-4120-9373-477d07717f9e} bus:/grp_door
{5206e42b-ae8f-49f6-b059-d613b2947b49} bus:/grp_engine_ext
{db9dca15-49f5-4c00-93ca-e76ccaf1160e} bus:/grp_engine_int
{c9a0a35d-dcc0-4002-ae01-5487466de9f8} bus:/grp_gear_ext
{f09ce222-1e68-42a9-9e16-fcb45004fcb3} bus:/grp_gear_int
{c89669bc-901a-4b52-91b7-46a85014ee0d} bus:/grp_horn
{37b936f8-165c-484d-a2f5-d06ae99a0822} bus:/grp_limiter
{81c0ee3a-2fd8-4e25-b775-eb7845ca644f} bus:/grp_skid_ext
{37bf169d-f171-4af4-a924-d65a1f998264} bus:/grp_skid_int
{ce5395d1-28c9-4dcc-90bd-051528b365d3} bus:/grp_surfaces
{9d0c46e7-d738-480e-8d5f-b5fb315a701a} bus:/grp_tractioncontrol_ext
{dcf6df4b-a019-4819-97e4-d1b3ed67e4b1} bus:/grp_tractioncontrol_int
{dba03e3d-9c12-43da-a5b9-9c79b7673c7f} bus:/grp_transmission
{35927822-c7cf-43ab-b6a2-447a4386450e} bus:/grp_turbo
{b7b6c398-22ee-465a-a6df-42861188e195} bus:/grp_wheel_closed
{208daf59-324a-4a13-994e-d284dac196ce} bus:/grp_wheel_open
{bec567db-3040-4ca9-82f7-75f072ab68c8} bus:/grp_wind_closed
{1c1f5d35-07d5-4d6f-b916-cd0eb4adfd60} bus:/grp_wind_open
{94c7fa2c-007f-4d0c-a4c1-e2506a2e2cde} event:/cars/MSU_SR25/backfire_ext
{250b1a62-8966-42d2-854e-a03ecdfdc3d2} event:/cars/MSU_SR25/backfire_int
{c2de7f91-329d-4f9b-9100-f94b98ef64d5} event:/cars/MSU_SR25/bodywork
{61f4d0cc-2db3-4018-b860-1f7452806447} event:/cars/MSU_SR25/engine_ext
{52fd4603-b918-4539-a835-7a7421c30d07} event:/cars/MSU_SR25/engine_int
{245ad0c3-053a-437e-b126-369f01c048cf} event:/cars/MSU_SR25/gear_ext
{1facdff9-2006-4ddd-a598-5982d3524768} event:/cars/MSU_SR25/gear_int
{155a0e94-c5f2-4287-a2a9-53fcc61e9d91} event:/cars/MSU_SR25/limiter
{ad7efb6e-6adf-4068-b6a2-c309319c6dad} event:/cars/MSU_SR25/skid_ext
{42167dc4-f6d8-44c0-a22b-e7aa67ac1482} event:/cars/MSU_SR25/skid_int
{85f24843-21fb-4ef8-ada3-988fe6b7ba82} event:/cars/MSU_SR25/tractioncontrol_ext
{d93d2476-d8a4-4cb2-8a71-77c541cb5312} event:/cars/MSU_SR25/tractioncontrol_int
{8bfda1e2-3b7e-447e-9543-fe0f04a34190} event:/cars/MSU_SR25/transmission
{3c6c5418-a3f1-49a1-befd-3ce69cbb5d11} event:/cars/MSU_SR25/wheel
{8f8acecf-ec9a-4221-9446-96a6a6795ccd} event:/cars/MSU_SR25/wind
{94f04703-a92c-49cf-a097-734f3e79ec08} vca:/vca_engine_ext
{ff157bb9-ecc1-49da-ad82-5e42fecb2ac9} vca:/vca_engine_int
{f8b9d9e5-bd29-4a82-a1a0-66e8b9059ccb} vca:/vca_skid
{45401f11-f5bd-429f-afb6-710deda49e32} vca:/vca_surfaces
{a61eba16-8f14-4a39-8ffd-c573cfdc0dbd} vca:/vca_transmission
{185673e8-d3ed-434c-acd4-61c819bb209c} vca:/vca_wind
{3adcacaf-e1f8-4b1b-b648-ce609d57c781} bank:/msu_sr25
